,NAME_1,NAME_2,LGU,geometry,Disaster Risk Reduction Plan,Annual Disaster Drill,Early Warning System,Budget for DRRMP,Local Risk Assessment,Emergency Infrastructure,Disaster Preparedness Overall Score,Ranking
14,Laguna,Magdalena,Magdalena,"MULTIPOLYGON (((121.4285 14.1782, 121.4193 14.1842, 121.4181 14.1904, 121.4148 14.1931, 121.408 14.1935, 121.4068 14.1958, 121.4077 14.2022, 121.4038 14.2126, 121.4049 14.2243, 121.4095 14.2254, 121.4112 14.2284, 121.4235 14.2312, 121.4427 14.2324, 121.4611 14.2316, 121.4577 14.225, 121.4593 14.2203, 121.4588 14.2041, 121.4548 14.1964, 121.4478 14.1885, 121.4445 14.1706, 121.4405 14.1659, 121.4371 14.1726, 121.4285 14.1782)))",1.9762,1.0036,1.1996,0.0,2.0,0.4205,6.5999,9
15,Laguna,Majayjay,Majayjay,"MULTIPOLYGON (((121.5174 14.1155, 121.5058 14.0921, 121.4925 14.0747, 121.4853 14.0967, 121.484 14.0984, 121.4787 14.0995, 121.4717 14.1059, 121.4688 14.1141, 121.4611 14.1204, 121.4553 14.1365, 121.4493 14.1464, 121.4472 14.1556, 121.4405 14.1659, 121.4454 14.1723, 121.4478 14.1885, 121.4548 14.1964, 121.4586 14.2035, 121.4594 14.2114, 121.4638 14.2021, 121.4824 14.1826, 121.5026 14.1575, 121.5073 14.1541, 121.5134 14.1534, 121.5224 14.1471, 121.5235 14.1408, 121.5262 14.1388, 121.5174 14.1155)))",1.9524,1.0036,1.0316,0.0,2.0,0.056,6.0436000000000005,28
16,Laguna,Nagcarlan,Nagcarlan,"MULTIPOLYGON (((121.4802 14.0716, 121.4834 14.0703, 121.4792 14.066, 121.449 14.0661, 121.4423 14.0634, 121.4396 14.0643, 121.4234 14.091, 121.42 14.1035, 121.4116 14.1091, 121.4047 14.12, 121.4 14.1216, 121.3972 14.1247, 121.3977 14.1261, 121.3923 14.1273, 121.385 14.1317, 121.3787 14.1293, 121.3753 14.1249, 121.3663 14.1209, 121.3651 14.1237, 121.3581 14.1283, 121.3573 14.1335, 121.3532 14.1321, 121.3494 14.1397, 121.3474 14.1404, 121.3478 14.1389, 121.3458 14.1403, 121.3454 14.1472, 121.3567 14.1477, 121.3654 14.15, 121.3392 14.1871, 121.3515 14.1838, 121.3595 14.1859, 121.3705 14.1944, 121.3905 14.2059, 121.3882 14.2119, 121.4038 14.2208, 121.4038 14.2126, 121.4077 14.2022, 121.4068 14.1958, 121.408 14.1935, 121.4039 14.1934, 121.4035 14.1871, 121.4022 14.1848, 121.3978 14.1827, 121.398 14.1797, 121.4007 14.1771, 121.4155 14.1771, 121.4147 14.1733, 121.4166 14.1664, 121.4156 14.1566, 121.4187 14.1559, 121.4219 14.1522, 121.4217 14.1468, 121.4347 14.1193, 121.4525 14.0962, 121.4802 14.0716)))",1.9167,1.004,1.0076,0.0306,2.0,0.429,6.3879,17
17,Laguna,Paete,Paete,"MULTIPOLYGON (((121.5535 14.3528, 121.4784 14.3485, 121.479 14.356, 121.4748 14.3641, 121.4743 14.3719, 121.4796 14.3731, 121.508 14.3864, 121.5482 14.4094, 121.5588 14.4089, 121.5626 14.4127, 121.5693 14.414, 121.5697 14.4175, 121.5736 14.4183, 121.5754 14.4116, 121.5794 14.413, 121.5813 14.4097, 121.5842 14.4108, 121.5851 14.4091, 121.5918 14.4101, 121.5963 14.3971, 121.6228 14.3936, 121.6254 14.3585, 121.5535 14.3528)))",1.9048,1.0018,1.0395,0.0,2.0,0.4007,6.3468,23
18,Laguna,Pagsanjan,Pagsanjan,"MULTIPOLYGON (((121.4594 14.2114, 121.4593 14.2203, 121.4577 14.225, 121.4611 14.2316, 121.4427 14.2324, 121.4235 14.2312, 121.4112 14.2284, 121.4183 14.2342, 121.4192 14.2442, 121.4284 14.2561, 121.4323 14.2663, 121.4344 14.2791, 121.4618 14.285, 121.4704 14.2784, 121.4853 14.2816, 121.4879 14.2807, 121.5021 14.2845, 121.5041 14.2814, 121.503 14.2806, 121.5097 14.2781, 121.5092 14.2747, 121.5068 14.2739, 121.5109 14.2659, 121.502 14.2634, 121.4905 14.2674, 121.4775 14.2566, 121.4742 14.2475, 121.4746 14.2378, 121.4808 14.2156, 121.4594 14.2114)))",1.9762,1.0614,1.0375,0.0,2.0,0.6299,6.705,7
19,Laguna,Pakil,Pakil,"MULTIPOLYGON (((121.3884 14.3451, 121.3703 14.361, 121.3673 14.3677, 121.3672 14.372, 121.3712 14.3791, 121.3749 14.399, 121.3861 14.3954, 121.3887 14.3854, 121.3911 14.3822, 121.4009 14.3762, 121.4081 14.3749, 121.3983 14.3569, 121.3884 14.3451)), ((121.4836 14.3936, 121.5102 14.4044, 121.5484 14.424, 121.5546 14.4173, 121.5588 14.4089, 121.5482 14.4094, 121.508 14.3864, 121.4796 14.3731, 121.4745 14.3719, 121.4717 14.3799, 121.466 14.388, 121.4836 14.3936)))",1.875,1.0071,1.125,0.0,2.0,0.384,6.391100000000001,16
20,Laguna,Pangil,Pangil,"MULTIPOLYGON (((121.4099 14.3779, 121.4081 14.3749, 121.4009 14.3762, 121.3911 14.3822, 121.3887 14.3854, 121.3861 14.3954, 121.4086 14.389, 121.4107 14.382, 121.4099 14.3779)), ((121.4539 14.3962, 121.451 14.3977, 121.4523 14.4026, 121.4691 14.4175, 121.4964 14.4325, 121.5359 14.4483, 121.5484 14.424, 121.5102 14.4044, 121.476 14.3906, 121.466 14.388, 121.4545 14.3936, 121.4539 14.3962)))",1.9762,1.0045,1.0119,0.0,2.0,0.4737,6.4662999999999995,11
21,Laguna,Pila,Pila,"MULTIPOLYGON (((121.3734 14.1955, 121.3705 14.1944, 121.3719 14.2005, 121.3686 14.2059, 121.3674 14.2049, 121.3672 14.207, 121.3556 14.2108, 121.3519 14.2139, 121.3535 14.2171, 121.3452 14.2254, 121.3402 14.2393, 121.3383 14.241, 121.3461 14.2469, 121.3453 14.252, 121.3511 14.2613, 121.3577 14.2665, 121.3672 14.2695, 121.3712 14.2571, 121.3828 14.2447, 121.3903 14.2315, 121.3937 14.2278, 121.4023 14.226, 121.405 14.2229, 121.4023 14.2195, 121.3882 14.2119, 121.3905 14.2059, 121.3734 14.1955)))",1.9524,1.0018,1.004,0.0,2.0,0.1674,6.1255999999999995,26
22,Laguna,Rizal,Rizal (LA),"MULTIPOLYGON (((121.3803 14.1027, 121.3814 14.1075, 121.3772 14.1146, 121.3731 14.1142, 121.3695 14.1203, 121.3663 14.1209, 121.3753 14.1249, 121.3787 14.1293, 121.385 14.1317, 121.3923 14.1273, 121.3977 14.1261, 121.3972 14.1247, 121.4 14.1216, 121.4047 14.12, 121.4116 14.1091, 121.42 14.1035, 121.4234 14.091, 121.4396 14.0643, 121.4024 14.0699, 121.3907 14.0938, 121.3878 14.0975, 121.3854 14.0941, 121.3812 14.0967, 121.3828 14.1004, 121.3803 14.1027)))",1.9375,1.0071,1.0104,0.0,2.0,0.3946,6.3496,21
23,Laguna,SanPabloCity,San Pablo (LA),"MULTIPOLYGON (((121.2584 13.991, 121.2479 13.9913, 121.2425 13.9886, 121.2392 13.9915, 121.2487 13.9932, 121.2496 13.9953, 121.2517 13.9958, 121.2513 13.9989, 121.2591 14.0043, 121.2605 14.0028, 121.262 14.0039, 121.2669 14.0118, 121.2666 14.0137, 121.2698 14.0129, 121.2696 14.0146, 121.2749 14.0186, 121.2752 14.024, 121.2729 14.0253, 121.2772 14.029, 121.2789 14.0351, 121.2833 14.0376, 121.2795 14.0396, 121.2786 14.0411, 121.281 14.0433, 121.2802 14.0446, 121.2779 14.0429, 121.2772 14.044, 121.2788 14.0455, 121.2749 14.047, 121.2753 14.0497, 121.2823 14.0453, 121.2882 14.0467, 121.2884 14.05, 121.2899 14.0512, 121.2877 14.0535, 121.2893 14.0559, 121.2872 14.0611, 121.2879 14.064, 121.2855 14.0671, 121.2828 14.0677, 121.2819 14.0663, 121.2785 14.0664, 121.2782 14.065, 121.2764 14.0675, 121.2725 14.0675, 121.2749 14.0718, 121.271 14.0736, 121.2734 14.0767, 121.2725 14.0813, 121.281 14.0903, 121.2821 14.0942, 121.2893 14.1043, 121.2975 14.1112, 121.2994 14.1119, 121.3129 14.1046, 121.3228 14.1125, 121.3212 14.1145, 121.3221 14.1199, 121.3333 14.1218, 121.3354 14.1249, 121.3328 14.1292, 121.3452 14.1463, 121.3458 14.1403, 121.3478 14.1389, 121.3474 14.1404, 121.3494 14.1397, 121.3532 14.1321, 121.3573 14.1335, 121.3581 14.1283, 121.3651 14.1237, 121.3666 14.1206, 121.3695 14.1203, 121.3701 14.1188, 121.3677 14.1197, 121.3643 14.1172, 121.3652 14.1142, 121.3689 14.1148, 121.3705 14.1168, 121.3731 14.1142, 121.3772 14.1146, 121.3814 14.1075, 121.38 14.1044, 121.3754 14.1028, 121.3749 14.0998, 121.3772 14.0979, 121.377 14.0962, 121.3812 14.0967, 121.3854 14.0941, 121.3878 14.0975, 121.4024 14.0699, 121.4312 14.0648, 121.4251 14.049, 121.4067 14.0373, 121.4028 14.0393, 121.3977 14.0381, 121.3906 14.0331, 121.3891 14.0337, 121.3854 14.0304, 121.351 14.0133, 121.3463 14.0064, 121.3396 14.0023, 121.3381 13.9965, 121.3333 13.9915, 121.3325 13.9885, 121.3266 13.9853, 121.3231 13.9859, 121.312 13.9826, 121.3052 13.9762, 121.2999 13.9734, 121.299 13.971, 121.2907 13.9738, 121.2826 13.9717, 121.2743 13.9646, 121.267 13.9659, 121.2613 13.9647, 121.2585 13.9705, 121.2607 13.9916, 121.2584 13.991), (121.3336 14.0805, 121.3311 14.0807, 121.3267 14.0774, 121.3283 14.0731, 121.3322 14.0707, 121.3367 14.0739, 121.3364 14.0784, 121.3336 14.0805), (121.3374 14.12, 121.3347 14.1213, 121.3328 14.1178, 121.3355 14.1162, 121.3372 14.1171, 121.3374 14.12), (121.3689 14.1134, 121.366 14.1114, 121.3659 14.1096, 121.3714 14.1105, 121.3709 14.1132, 121.3689 14.1134)))",1.9762,1.0772,1.0079,0.0954,2.0,0.5705,6.7272,4
24,Laguna,SanPedro,San Pedro,"MULTIPOLYGON (((121.0055 14.3225, 121.0088 14.3407, 121.0136 14.3511, 121.027 14.3592, 121.0327 14.3656, 121.0424 14.3724, 121.0452 14.3685, 121.0487 14.3685, 121.0514 14.3706, 121.052 14.3755, 121.0535 14.3749, 121.0551 14.3789, 121.0562 14.377, 121.0594 14.3763, 121.0632 14.3713, 121.0627 14.3625, 121.0653 14.3577, 121.069 14.356, 121.0739 14.3565, 121.0762 14.3552, 121.0781 14.3562, 121.0777 14.3525, 121.0695 14.3487, 121.0626 14.343, 121.0537 14.3396, 121.0458 14.3391, 121.0445 14.3404, 121.0353 14.338, 121.0217 14.3267, 121.0127 14.3229, 121.0069 14.3154, 121.0055 14.3225)))",1.9762,1.0599,1.0062,0.0758,2.0,0.5916,6.7097,6
25,Laguna,SantaCruz,Santa Cruz (LA),"MULTIPOLYGON (((121.4049 14.2243, 121.3937 14.2278, 121.3903 14.2315, 121.3828 14.2447, 121.3712 14.2571, 121.3672 14.2695, 121.3717 14.272, 121.3721 14.2741, 121.3792 14.2758, 121.3843 14.2815, 121.39 14.2816, 121.4017 14.2911, 121.4001 14.2977, 121.4016 14.3056, 121.4036 14.3059, 121.4059 14.3036, 121.4141 14.3014, 121.4151 14.2999, 121.413 14.2984, 121.4136 14.2964, 121.4243 14.2968, 121.426 14.2949, 121.4291 14.2954, 121.4344 14.2791, 121.4323 14.2663, 121.4284 14.2561, 121.4192 14.2442, 121.4183 14.2342, 121.4126 14.2308, 121.4095 14.2254, 121.4049 14.2243)))",1.875,1.0032,1.0009,0.035,2.0,0.4274,6.3415,24
26,Laguna,SantaMaria,Santa Maria (LA),"MULTIPOLYGON (((121.4237 14.457, 121.3658 14.4705, 121.3596 14.4768, 121.3595 14.4801, 121.3637 14.488, 121.3664 14.5001, 121.3755 14.5186, 121.3891 14.5369, 121.3979 14.5455, 121.4074 14.55, 121.4182 14.5582, 121.4278 14.5623, 121.4471 14.5685, 121.4646 14.5705, 121.4698 14.5758, 121.4865 14.5519, 121.5076 14.516, 121.5119 14.5059, 121.4971 14.4996, 121.4918 14.4997, 121.4851 14.4882, 121.4711 14.481, 121.4681 14.4661, 121.4557 14.4607, 121.4503 14.453, 121.4516 14.4499, 121.4237 14.457)))",1.9286,1.0262,1.1225,0.0,2.0,0.6002,6.6775,8
27,Laguna,SantaRosaCity,Santa Rosa (LA),"MULTIPOLYGON (((121.0519 14.2379, 121.0563 14.25, 121.0552 14.2542, 121.0564 14.26, 121.0707 14.2755, 121.0847 14.2845, 121.0863 14.2894, 121.091 14.2921, 121.0905 14.2937, 121.0942 14.2985, 121.0951 14.306, 121.0921 14.3139, 121.0933 14.3195, 121.0983 14.3257, 121.0977 14.3348, 121.1081 14.3333, 121.1197 14.3215, 121.1283 14.2982, 121.1253 14.2936, 121.1265 14.2892, 121.1215 14.2797, 121.1156 14.276, 121.1132 14.2697, 121.1072 14.2661, 121.1019 14.2603, 121.0855 14.231, 121.0687 14.2244, 121.0645 14.2203, 121.0615 14.2206, 121.0555 14.2172, 121.0471 14.2178, 121.0473 14.2301, 121.0519 14.2379)))",1.9048,1.0064,1.1968,0.1064,2.0,0.5038,6.7182,5
28,Laguna,Siniloan,Siniloan,"MULTIPOLYGON (((121.4438 14.4167, 121.4507 14.4297, 121.4578 14.4301, 121.4578 14.4329, 121.4668 14.4413, 121.4821 14.4497, 121.4948 14.4533, 121.5197 14.4701, 121.5241 14.472, 121.5326 14.457, 121.5359 14.4483, 121.4964 14.4325, 121.4691 14.4175, 121.4523 14.4026, 121.4509 14.3998, 121.4518 14.3966, 121.4473 14.399, 121.4435 14.3972, 121.4411 14.3992, 121.4421 14.4008, 121.4402 14.4066, 121.4438 14.4167)))",1.9583,1.0032,1.0062,0.035,2.0,0.3909,6.3936,15
29,Laguna,Victoria,Victoria (LA),"MULTIPOLYGON (((121.3274 14.1834, 121.3186 14.1845, 121.315 14.1931, 121.3117 14.1953, 121.3009 14.1952, 121.2996 14.2022, 121.307 14.2079, 121.3116 14.2218, 121.3186 14.2257, 121.3233 14.2346, 121.3383 14.241, 121.3402 14.2393, 121.3452 14.2254, 121.3535 14.2171, 121.3519 14.2139, 121.3556 14.2108, 121.3672 14.207, 121.3674 14.2049, 121.3686 14.2059, 121.3708 14.2031, 121.3719 14.1982, 121.3705 14.1944, 121.3595 14.1859, 121.3515 14.1838, 121.3392 14.1871, 121.3371 14.1857, 121.3332 14.1863, 121.3274 14.1834)))",1.9048,1.0,1.0613,0.0,2.0,0.4113,6.3774,19
